Species,Times,Concentrations
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0975, 0.0035982278481], [0.0075, 0.0], [0.0075, 0.0827592405063], [0.0075, 0.0], [0.0075, 0.0233884810127], [0.0075, 0.0269867088608], [0.0075, 0.00539734177215], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0975, 0.0165235135135], [0.0075, 0.0], [0.0075, 0.0587502702703], [0.0075, 0.0], [0.0075, 0.0183594594595], [0.0075, 0.034882972973], [0.0075, 0.00734378378378], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00367166666667], [0.0975, 0.0], [0.0075, 0.0807766666667], [0.0075, 0.0], [0.0075, 0.00367166666667], [0.0075, 0.0], [0.0075, 0.06609], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0975, 0.0], [0.0075, 0.0860035135135], [0.0075, 0.0], [0.0075, 0.00614310810811], [0.0075, 0.0], [0.0075, 0.0593833783784], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0975, 0.0786664556962], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0806835443038], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0975, 0.0908063291139], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0631696202532], [0.0075, 0.00197405063291]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.107606153846], [0.0975, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0672538461538], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0945471428571], [0.0975, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0581828571429], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0739262295082], [0.0075, 0.0], [0.0975, 0.00509836065574], [0.0075, 0.020393442623], [0.0075, 0.0560819672131], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0709079710145], [0.0075, 0.0], [0.0975, 0.0202594202899], [0.0075, 0.00202594202899], [0.0075, 0.0465966666667], [0.0075, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0895718918919], [0.0075, 0.0], [0.0075, 0.00186608108108], [0.0975, 0.0317233783784], [0.0075, 0.0130625675676], [0.0075, 0.00186608108108]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0741295454545], [0.0075, 0.0], [0.0075, 0.0], [0.0975, 0.0209083333333], [0.0075, 0.0285113636364], [0.0075, 0.00190075757576]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0837135064935], [0.0075, 0.0], [0.0075, 0.00220298701299], [0.0075, 0.0], [0.0975, 0.0815105194805], [0.0075, 0.00220298701299]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0868273809524], [0.0075, 0.0], [0.0075, 0.00173654761905], [0.0075, 0.0], [0.0975, 0.0555695238095], [0.0075, 0.00173654761905]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0812496774194], [0.0075, 0.0], [0.0075, 0.00601849462366], [0.0075, 0.0], [0.0075, 0.052661827957], [0.0975, 0.0]]"
"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0]","[[0.0075, 'NA'], [0.0075, 'NA'], [0.0075, 'NA'], [0.0075, 'NA'], [0.0075, 'NA'], [0.0075, 'NA'], [0.0075, 'NA'], [0.0975, 'NA']]"
"[0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.105, 0.0], [0.0075, 0.0877804878049], [0.0075, 0.0], [0.0075, 0.00877804878049], [0.0075, 0.0], [0.0075, 0.0403790243902], [0.0075, 0.00702243902439]]"
"[0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.105, 0.0], [0.0075, 0.0877804878049], [0.0075, 0.0], [0.0075, 0.00877804878049], [0.0075, 0.0], [0.0075, 0.0403790243902], [0.0075, 0.00702243902439]]"
"[0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.105, 0.0804111235955], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0546188764045], [0.0075, 0.0]]"
"[0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.105, 0.0804111235955], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0], [0.0075, 0.0546188764045], [0.0075, 0.0]]"
