Species,Times,Concentrations
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.13967, 0.12614, 0.12906, 0.13359, 0.12323]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.12046, 0.12688, 0.1315, 0.13331, 0.14113]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.13157, 0.12666, 0.12957, 0.13751, 0.13199]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.13893, 0.12868, 0.1324, 0.14348, 0.14444]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.13167, 0.1296, 0.13172, 0.13925, 0.13306]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.13776, 0.12574, 0.13553, 0.14429, 0.12451]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.14612, 0.13232, 0.1479, 0.14563, 0.13418]"
"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.1503, 0.15218, 0.1414, 0.14226, 0.13045]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.0731, 0.06471, 0.06621, 0.06607, 0.07266]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.07785, 0.06518, 0.07233, 0.06515, 0.07353]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.07533, 0.06607, 0.06542, 0.06154, 0.07209]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.0783, 0.07131, 0.06786, 0.06876, 0.07483]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.07762, 0.06921, 0.06712, 0.06868, 0.07246]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.07997, 0.06636, 0.06616, 0.06396, 0.06647]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.08543, 0.07058, 0.06687, 0.06885, 0.06849]"
"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.08391, 0.0682, 0.07256, 0.07132, 0.0711]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0]","[0.15, 0.0922, 0.07745, 0.07463, 'NA', 'NA']"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.09394, 0.0809, 0.06993, 0.07759, 0.07488]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.0817, 0.07604, 0.07305, 0.07633, 0.07866]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.09363, 0.08242, 0.07647, 0.08361, 0.0819]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.08896, 0.08132, 0.07344, 0.08182, 0.0897]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.09761, 0.07233, 0.07212, 0.07869, 0.08225]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.09721, 0.08075, 0.07383, 0.08143, 0.08185]"
"[0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0]","[0.15, 0.10269, 0.07785, 0.06678, 'NA', 'NA']"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00301, 0.00114, 0.00339, 3.99999999999984e-05, 0.00335]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00257, 0.000899999999999998, 0.00278, 0.00219999999999999, 0.00260999999999999]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00454, 0.00122999999999999, 0.00148, 0.00293, 0.00307]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00666, 0.000999999999999994, 0.000459999999999995, 0.000399999999999998, 0.00405999999999999]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00833, 0.00197, 0.00203, -0.000220000000000005, 0.00392]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.0045, 0.00352, 0.00393, 0.000919999999999997, 0.00493]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00525, 0.00367, 0.00401, 0.00219, 0.00378999999999999]"
"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.00663, 0.0043, 0.00257, 0.0019, 0.00319999999999999]"
"[0, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.01266, 0.06625, 0.04977, 0.06176, 0.0602]"
"[0, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.01952, 0.06667, 0.0417, 0.06048, 0.06077]"
"[0, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[0.15, 0.01579, 0.06747, 0.05257, 0.06118, 0.04094]"
