Species,Times,Concentrations
"[1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0075, 0.113821736111, 0.054001626506, 0.0411316071429, 0.0505947457627, 0.0435788571429], [0.1425, 0.0365482638889, 0.088288373494, 0.129488392857, 0.106515254237, 0.0950811428571]]"
"[1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.1425, 0.163918695652, 0.0981740112994, 0.0954636075949, 0.0654716546763, 0.055836], [0.0075, 0.0156113043478, 0.0516259887006, 0.0819863924051, 0.0970383453237, 0.130284]]"
"[1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.004903250046966, 0.0917876923076923, 0.06396, 0.0380331034482759, 0.043788, 0.0437924468085106], [0.145096749953034, 0.0897923076923077, 0.08528, 0.0917268965517241, 0.102172, 0.0889975531914894]]"
"[1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.004903250046966, 0.0876334645669291, 0.0487066666666667, 0.0403049056603774, 0.030695, 0.0439822222222222], [0.145096749953034, 0.0948165354330709, 0.0974133333333333, 0.0932050943396226, 0.109625, 0.0920877777777778]]"
"[1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.138635728263908, 0.101054632152589, 0.0717133333333333, 0.0456, 0.0415228235294118, 'NA'], [0.0113642717360917, 0.0594953678474114, 0.0532066666666667, 0.1032, 0.0891971764705882, 'NA']]"
"[1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.138635728263908, 0.109193351955307, 0.0593541666666667, 0.0312309375, 0.0421326315789474, 'NA'], [0.0113642717360917, 0.0637766480446927, 0.0701458333333333, 0.1115390625, 0.110347368421053, 'NA']]"
"[1, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00571992110453649, 0.11648241509434, 0.103409111111111, 0.0950956989247312, 0.121179826086957, 0.103393333333333], [0.144280078895464, 0.0442875849056604, 0.0467008888888889, 0.0409643010752688, 0.0371801739130435, 0.0516966666666667]]"
"[1, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00571992110453649, 0.144678219895288, 0.118306285714286, 0.121708235294118, 0.108329464285714, 0.121701418439716], [0.144280078895464, 0.040781780104712, 0.0542237142857143, 0.0460517647058824, 0.0472205357142857, 0.0481985815602837]]"
"[1, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.140203562340967, 0.139450997304582, 0.112521621621622, 0.101632542372881, 0.102805636363636, 'NA'], [0.00979643765903308, 0.0202290026954178, 0.0344183783783784, 0.0346474576271186, 0.0351043636363636, 'NA']]"
"[1, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.140203562340967, 0.121242156398104, 0.102983829787234, 0.100029661016949, 0.0965394160583942, 'NA'], [0.00979643765903308, 0.0381478436018957, 0.039376170212766, 0.0372203389830508, 0.0426805839416058, 'NA']]"
"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0133163265306122, 0.0670051886792453, 0.0525763636363636, 0.0727670588235294, 0.0652098412698413, 0.0608336842105263], [0.136683673469388, 0.0779448113207547, 0.0438136363636364, 0.0325129411764706, 0.0556201587301587, 0.0595663157894737]]"
"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.0133163265306122, 0.0532791666666667, 0.0577925925925926, 0.0782655714285714, 0.049124, 0.0535505454545454], [0.136683673469388, 0.0745908333333333, 0.0418074074074074, 0.0698044285714286, 0.073686, 0.0691694545454545]]"
"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.145852941176471, 0.0856214925373134, 0.059586862745098, 0.0487714516129032, 0.0548373913043478, 'NA'], [0.00414705882352941, 0.0404585074626866, 0.038443137254902, 0.0554985483870968, 0.0598226086956522, 'NA']]"
"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.145852941176471, 0.0814451690821256, 0.0394269387755102, 0.0522985714285714, 0.0472921818181818, 'NA'], [0.00414705882352941, 0.0348248309178744, 0.0622530612244898, 0.0697314285714286, 0.0657978181818182, 'NA']]"
"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00758280069726903, 0.00819555555555555, 0.0258993975903614, 0.01508625, 0.0139111111111111, 0.00738848484848485], [0.142417199302731, 0.139324444444444, 0.100550602409639, 0.10560375, 0.0987688888888889, 0.114521515151515]]"
"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1]","[[0.00758280069726903, 0.0111575280898876, 0.0153724137931034, 0.0156689108910891, 0.0138335185185185, 0.00236316666666667], [0.142417199302731, 0.130702471910112, 0.118367586206897, 0.0973710891089109, 0.121986481481481, 0.139426833333333]]"
"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.142581943645773, 0.0623785282258064, 0.0386045714285714, 0.0425007608695652, 0.0438946808510638, 'NA'], [0.00741805635422657, 0.0751314717741935, 0.0806154285714286, 0.0923292391304348, 0.0892053191489362, 'NA']]"
"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 0]","[[0.142581943645773, 0.0486614967462039, 0.0402766666666667, 0.0413834020618557, 0.0384396153846154, 'NA'], [0.00741805635422657, 0.0687885032537961, 0.0805533333333333, 0.0881065979381443, 0.0791403846153846, 'NA']]"
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00615566037735849, 0.0239977689243028, 0.0170016666666667, 0.0153207843137255, 0.0, 0.00549066666666667], [0.143844339622641, 0.116082231075697, 0.0850083333333333, 0.0823492156862745, 0.10537, 0.0974593333333333]]"
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1]","[[0.00615566037735849, 0.0251976623376623, 0.0328553846153846, 0.01238890625, 0.0, 0.00521788732394366], [0.143844339622641, 0.118522337662338, 0.0795446153846154, 0.10088109375, 0.12375, 0.118272112676056]]"
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0]","[[0.140880681818182, 0.101518414918415, 0.0866183529411765, 0.0886545454545455, 0.0862669565217391, 'NA'], [0.00911931818181818, 0.0211615850815851, 0.0284216470588235, 0.0385454545454545, 0.0496330434782609, 'NA']]"
"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0]","[[0.140880681818182, 0.0895431134564644, 0.0877642105263158, 0.0566580722891566, 0.0465, 'NA'], [0.00911931818181818, 0.0370868865435356, 0.0357557894736842, 0.0639219277108434, 0.0651, 'NA']]"
"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1]","[[0.00403837227293826, 0.0698580281690141, 'NA', 0.120759120879121, 0.11983, 0.12793], [0.145961627727062, 0.0760219718309859, 'NA', 0.00702087912087912, 0.0, 0.0]]"
