Species,Times,Concentrations
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0682074], [0.0075, 0.0], [0.0075, 0.1324026]]"
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.053643258427], [0.0075, 0.0], [0.0075, 0.137326741573]]"
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.046928372093], [0.135, 0.0], [0.0075, 0.121231627907]]"
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0542572277228], [0.135, 0.0], [0.0075, 0.111802772277]]"
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0504858490566], [0.0075, 0.0], [0.135, 0.102414150943]]"
"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0437899130435], [0.0075, 0.0], [0.135, 0.113580086957]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0370137888199], [0.0075, 0.11204173913], [0.0075, 0.0120044720497]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0516917829457], [0.0075, 0.115626356589], [0.0075, 0.00816186046512]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0250479310345], [0.135, 0.134980517241], [0.0075, 0.00139155172414]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0435445544554], [0.135, 0.101603960396], [0.0075, 0.00145148514851]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0434112], [0.0075, 0.1100784], [0.135, 0.0015504]]"
"[1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0448254263566], [0.0075, 0.0825195348837], [0.135, 0.00407503875969]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0908335483871], [0.0075, 0.0], [0.0075, 0.0851564516129]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.037315625], [0.0075, 0.0], [0.0075, 0.082094375]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0389508791209], [0.135, 0.0321768131868], [0.0075, 0.0829823076923]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.05690625], [0.135, 0.00517329545455], [0.0075, 0.0896704545455]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0686329292929], [0.0075, 0.0], [0.135, 0.0790770707071]]"
"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0], [0.135, 0.0]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.00324611111111], [0.0075, 0.0275919444444], [0.0075, 0.202881944444]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0069797029703], [0.0075, 0.0418782178218], [0.0075, 0.0921320792079]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00112104347826], [0.135, 0.0347523478261], [0.0075, 0.0930466086957]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00376748201439], [0.135, 0.038930647482], [0.0075, 0.131861870504]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0], [0.0075, 0.0521871428571], [0.135, 0.0903728571429]]"
"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.00271606299213], [0.0075, 0.0353088188976], [0.135, 0.0769551181102]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.054235304878], [0.0075, 0.179537560976], [0.0075, 0.0729371341463]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0117509016393], [0.0075, 0.121425983607], [0.0075, 0.0261131147541]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0274598305085], [0.135, 0.105503559322], [0.0075, 0.0375766101695]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0151228125], [0.135, 0.099558515625], [0.0075, 0.046628671875]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0300189147287], [0.0075, 0.0658106976744], [0.135, 0.0531103875969]]"
"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0324776271186], [0.0075, 0.0649552542373], [0.135, 0.0394371186441]]"
"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0932573469388], [0.0075, 0.225552653061], [0.0075, 0.0]]"
"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.135, 0.0327709649123], [0.0075, 0.129659035088], [0.0075, 0.0]]"
"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0302785714286], [0.135, 0.126721428571], [0.0075, 0.0]]"
"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]","[[0.0075, 0.0410728888889], [0.135, 0.119647111111], [0.0075, 0.0]]"
